"Reference","Qty","Package","Value","Description","MPD","MPL","Datasheet","Shopping","Manufacturer","MPN"
"BZ1","1","SMD,5x5mm","Buzzer 5020","Buzzer, polarized","75dB 4kHz 3V SMD,5x5mm Alarms, Buzzers, and Sirens RoHS","https://www.lcsc.com/product-detail/C7544810.html?s_z=n_buzzer%25205020","https://www.lcsc.com/datasheet/C7544810.pdf","https://www.lcsc.com/search?q=Buzzer_5020&s_z=n_Buzzer_5020","HYDZ","HYG-5020A"
"C2","1","0805","100nF","Unpolarized capacitor","","","~","https://www.lcsc.com/search?q=100nF%25200805&s_z=n_100nF%25200805","",""
"J9","1","SMD,P=1.25mm,Surface Mount,Right Angle","Molex PicoBlade 0532610271","1.25mm Pitch, PicoBlade PCB Header, Single Row, Right-Angle, Surface Mount, Tin (Sn) Plating, Friction Lock, 2 Circuits, Natural, Tape and Reel","Connector Header 2 position 1.25mm Pitch","https://www.lcsc.com/product-detail/C225111.html","https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/532/53261/532610271_sd.pdf?inline","https://www.lcsc.com/search?q=0532610271&s_z=n_0532610271","CJT(Changjiang Connectors)","A1251WR-S-2P"
"J38,J50","2","SMD,P=1mm,Surface Mount,Right Angle","JST-SH-4","Generic connectable mounting pin connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","4P 1x4P Tin 1mm 50V 4 1A 1 Surface Mount, Right Angle -25℃~+85℃ SMD,P=1mm,Surface Mount,Right Angle Headers, Male Pins RoHS","https://www.lcsc.com/product-detail/C51940130.html?s_z=n_SM04B-SRSS-TB","https://www.jst-mfg.com/product/pdf/eng/eSH.pdf","https://www.lcsc.com/search?q=SM04B-SRSS-TB&s_z=n_SM04B-SRSS-TB","JST Sales America Inc.","SM04B-SRSS-TB"
"M1","1","Wire Leads","ERM Motor","VIBRATION ERM MOTOR 3V","DC Motor Vibration, ERM (Haptic) 3VDC","https://www.digikey.com.au/en/products/detail/seeed-technology-co-ltd/316040001/5487672","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2234/1020-15-003-001_Spec.pdf","https://www.digikey.com.au/short/332zpfdb","Seeed Technology Co., Ltd","316040001"
"OLED1","1","Through Hole","I2C OLED Module","I2C OLED Module With Header pin space 2.54mm","0.96 Inch OLED Display Module I2C IIC SPI Serial 128X64 SSD1306 LCD 3.3-5V 4 Pin White/Blue/Yellow Blue for Arduino","https://www.aliexpress.com/item/1005008738379315.html","https://cdn-shop.adafruit.com/datasheets/SSD1306.pdf","https://www.aliexpress.com/w/wholesale-0.96-Inch-OLED-Display-Module.html","",""
"Q1-Q3","3","SOT-23-3L","AO3400A","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23","30V 5.7A 48mΩ@2.5V 1.4W SOT-23-3L Single FETs, MOSFETs RoHS","https://www.lcsc.com/product-detail/C20917.html?s_z=n_AO3400A","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf","https://www.lcsc.com/search?q=MOSFET%2520N-CH%2520SOT-23-3L&s_z=n_MOSFET%2520N-CH%2520SOT-23-3L","Alpha & Omega Semiconductor Inc.","AO3400A"
"R1-R3","3","0805","10k","Resistor","","","~","https://www.lcsc.com/search?q=10K%25200805&s_z=n_10K%25200805","",""
"R4","1","0805","680K","Resistor","","","~","https://www.lcsc.com/search?q=680K%25200805&s_z=n_680K%25200805","",""
"R5","1","0805","1.0M","Resistor","","","~","https://www.lcsc.com/search?q=1M%25200805&s_z=n_1M%25200805","",""
"R6","1","0805","1k","Resistor","","","~","https://www.lcsc.com/search?q=1k%25200805&s_z=n_1k%25200805","",""
"SW1","1","SMD,4x3mm","Reset","Push button switch, generic, two pins","Without Bracket 3.9mm 12V 2.93mm Round Button SPST 50mA SMD,4x3mm Tactile Switches RoHS","https://www.lcsc.com/product-detail/C455280.html?s_z=n_TS-1088R-02026","https://www.lcsc.com/datasheet/C455280.pdf","https://www.lcsc.com/search?q=TS-1088R-02026&s_z=n_TS-1088R-02026","XUNPU","TS-1088R-02026"
"SW2","1","SMD,4x3mm","SW_Push","Push button switch, generic, two pins","Without Bracket 3.9mm 12V 2.93mm Round Button SPST 50mA SMD,4x3mm Tactile Switches RoHS","https://www.lcsc.com/product-detail/C455280.html?s_z=n_TS-1088R-02026","https://www.lcsc.com/datasheet/C455280.pdf","https://www.lcsc.com/search?q=TS-1088R-02026&s_z=n_TS-1088R-02026","XUNPU","TS-1088R-02026"
